Wiek,Średnie Zarobki,Czas Początkowy Podróży,Czas Końcowy Podróży,Całkowity Czas Podróży,Płeć_Kobieta,Płeć_Mężczyzna,Wykształcenie_Podstawowe,Wykształcenie_Wyższe,Wykształcenie_Średnie,Cel Podróży_Edukacja,Cel Podróży_Inne,Cel Podróży_Praca,Cel Podróży_Rozrywka,Cel Podróży_Zakupy
1.0269758964737081,1.2458339414977466,05:57,09:58,04:01,True,False,True,False,False,False,False,False,True,False
1.2224375379745445,1.6988019452029524,05:17,06:01,00:44,False,True,False,True,False,False,False,False,True,False
-1.709487084537999,-1.3293123150384356,20:12,01:07,04:55,True,False,True,False,False,True,False,False,False,False
-1.3837176820366053,0.2423700069369777,14:06,16:59,02:53,True,False,True,False,False,False,False,False,True,False
0.3754370914709207,1.1905558008954782,14:41,22:22,07:41,False,True,False,True,False,False,True,False,False,False
-0.9927943990349329,-0.7203878392148979,18:49,23:10,04:21,True,False,False,True,False,False,False,True,False,False
-0.4064094745324242,1.3421274829375407,22:16,23:04,00:48,False,True,True,False,False,False,False,False,False,True
-0.21094783303158798,-1.5780338757069712,05:40,11:34,05:54,False,True,False,False,True,False,False,True,False,False
0.9618220159734294,1.2054428935254242,11:34,18:51,07:17,False,True,True,False,False,False,False,False,True,False
1.0921297769739868,0.4282667765453938,05:46,06:24,00:38,True,False,False,False,True,False,False,True,False,False
1.0921297769739868,-1.7244245745694313,22:17,01:54,03:37,True,False,False,True,False,False,False,False,False,True
0.9618220159734294,0.27965933861106396,06:23,06:56,00:33,False,True,False,False,True,False,False,False,True,False
-0.6670249965335392,-0.20854164191861246,05:36,05:49,00:13,True,False,False,False,True,False,False,False,True,False
1.2224375379745445,0.8509937623437889,21:20,22:53,01:33,True,False,False,False,True,False,True,False,False,False
-0.8624866380343754,1.4669636879306336,13:17,20:58,07:41,False,True,False,True,False,True,False,False,False,False
-0.7973327575340967,-1.0161506650713645,08:48,16:00,07:12,True,False,False,False,True,False,False,False,True,False
-0.7973327575340967,0.42109531060745925,10:56,21:01,10:05,True,False,False,True,False,False,False,False,True,False
1.0269758964737081,-1.5566369020558883,18:04,19:11,01:07,False,True,False,False,True,True,False,False,False,False
0.44059097197119945,1.1924689555466526,16:19,20:15,03:56,True,False,True,False,False,False,False,True,False,False
1.3527452989751019,0.35164607836745065,14:24,17:08,02:44,False,True,False,True,False,False,False,False,False,True
1.0921297769739868,0.8511942426216067,20:07,21:26,01:19,False,True,False,True,False,False,True,False,False,False
-0.6018711160332605,1.015164197844708,16:26,01:12,08:46,False,True,False,True,False,False,True,False,False,False
-0.7321788770338179,-1.0930291236065022,22:02,02:56,04:54,True,False,True,False,False,False,True,False,False,False
1.0269758964737081,0.4293665540694222,08:26,10:39,02:13,True,False,False,True,False,False,False,True,False,False
-0.9927943990349329,-0.8399685969251988,13:40,16:50,03:10,False,True,False,True,False,False,False,False,False,True
0.17997544997008447,1.148323198371202,20:03,07:45,11:42,False,True,False,True,False,False,False,True,False,False
0.04966768896952699,-1.7087642008679027,17:51,00:35,06:44,True,False,False,True,False,False,False,False,False,True
-0.5367172355329817,0.647168327890536,08:37,17:12,08:35,False,True,False,True,False,False,True,False,False,False
0.8315142549728719,-0.9155095656068956,11:53,22:37,10:44,False,True,False,True,False,False,False,False,True,False
1.0269758964737081,-0.34620572068806654,10:16,13:54,03:38,True,False,True,False,False,False,False,False,False,True
1.6785147014764956,1.2095641952365614,18:59,04:02,09:03,True,False,False,True,False,False,False,False,True,False
-0.9276405185346541,0.17365109570901943,15:46,01:10,09:24,False,True,False,True,False,False,False,True,False,False
0.11482156946980573,-1.2328097013089172,22:40,06:32,07:52,True,False,False,False,True,True,False,False,False,False
-1.709487084537999,-0.0003170973692456064,14:47,20:39,05:52,False,True,False,True,False,False,False,False,False,True
-1.709487084537999,-1.046279986823391,05:35,15:44,10:09,True,False,False,False,True,False,False,False,True,False
0.9618220159734294,0.2046252986318489,09:00,15:59,06:59,False,True,False,False,True,True,False,False,False,False
-0.6670249965335392,0.2583024610155448,16:31,20:03,03:32,False,True,True,False,False,False,False,False,False,True
-0.4064094745324242,1.1162234418886245,12:32,15:39,03:07,True,False,False,False,True,False,False,False,False,True
